 
****************************************
Report : timing
        -path end
        -delay max
Design : FPAddSub_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:20:10 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_2_reg[54]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_3_reg[9]/D (DFFPOSX1)          0.27 r        infinity     infinity
pipe_3_reg[12]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_3_reg[13]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_3_reg[14]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_3_reg[15]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_3_reg[4]/D (DFFPOSX1)          0.12 r        infinity     infinity
pipe_3_reg[3]/D (DFFPOSX1)          0.12 r        infinity     infinity
pipe_3_reg[2]/D (DFFPOSX1)          0.12 r        infinity     infinity
pipe_3_reg[1]/D (DFFPOSX1)          0.12 r        infinity     infinity
pipe_3_reg[0]/D (DFFPOSX1)          0.12 r        infinity     infinity
pipe_2_reg[39]/D (DFFPOSX1)         0.12 r        infinity     infinity
pipe_2_reg[40]/D (DFFPOSX1)         0.12 r        infinity     infinity
pipe_2_reg[41]/D (DFFPOSX1)         0.12 r        infinity     infinity
pipe_2_reg[42]/D (DFFPOSX1)         0.12 r        infinity     infinity
pipe_2_reg[43]/D (DFFPOSX1)         0.12 r        infinity     infinity
pipe_2_reg[44]/D (DFFPOSX1)         0.12 r        infinity     infinity
pipe_2_reg[45]/D (DFFPOSX1)         0.12 r        infinity     infinity
pipe_1_reg[68]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[6]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[6]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[67]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[8]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[8]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[66]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[7]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[7]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[65]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[5]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[5]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[64]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[16]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[63]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[15]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[62]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[14]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[61]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[13]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[60]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[12]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[59]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
