 
****************************************
Report : timing
        -path end
        -delay max
Design : FPMult_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:12:40 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_1_reg[19]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[18]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[17]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[16]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[15]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[14]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[13]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[12]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[11]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[10]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[9]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[8]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[7]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[6]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[5]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[4]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[3]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_1_reg[2]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[38]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[37]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[36]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[33]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
